full_name,channel
Josh Pennington,cnn
Paula Newton,cnn
Lindsay Isaac,cnn
Jennifer Henderson Andi Babineau,cnn
Andi Babineau,cnn
Kaitlan Collins,cnn
David Williams,cnn
Simone Jameson,cnn
Kimberly Craig,cnn
Robin Gee,cnn
Wendi Lane,cnn
Kaylyn Hlavaty,cnn
Kathleen Kelly,cnn
Roosevelt Oliver Jr,cnn
Jeanette Quezada,cnn
Kevin Conlon Theresa Waldrop,cnn
Nick Thompson,cnn
Peter Taggart,cnn
Ronald Brownstein,cnn
Tara John Anna Chernova,cnn
Caitlin Hu,cnn
Adrienne Vogt,cnn
Benjamin Taubman,cnn
Matt Egan,cnn
Joan Biskupic,cnn
Kristin Fisher,cnn
Caroll Alvarado Raja Razek,cnn
Donna Freydkin,cnn
Julia Falcon,cnn
Annie Grayer Veronica Stracqualursi,cnn
Nicole Sanders,cnn
Marilyn Cater,cnn
Inke Kappeler,cnn
Chris Stern,cnn
Amanda Watts,cnn
Joshua A Douglas,cnn
Avery Lotz Andrew Millman,cnn
Michael Andronico,cnn
Michael Conte,cnn
Brenda Lepenski,cnn
Shea Smith,cnn
Marissa Miller,cnn
Lauren Del Valle Oliver Darcy,cnn
Oliver Darcy,cnn
Gene Seymour,cnn
Clara Grudberg,cnn
Amir Vera Rob Frehse,cnn
Rob Frehse,cnn
Scott Jennings,cnn
Oren Liebermann,cnn
Rosalina Nieves,cnn
Elizabeth Wolfe Raja Razek,cnn
Rishi Iyengar,cnn
Swati Gupta,cnn
Amanda Tyler,cnn
Jean Casarez Christina Maxouris,cnn
Andi Babineau Rob Frehse,cnn
Sarah Boxer,cnn
Ivana Kottasov Hafsa Khalil,cnn
Ivana Kottasov,cnn
Rob Picheta Boglarka,cnn
Vandoorne Tina Burnside,cnn
Jennifer Rodgers,cnn
Adam Rife,cnn
Matthew Velasco,cnn
Tanya Edwards,cnn
Lauren Koenig,cnn
Hamdi Alkhshali Aqeel Najim,cnn
Hamdi Alkhshali,cnn
Aqeel Najim,cnn
Michael D'Antonio,cnn
Monica Garrett,cnn
Jamie Gumbrecht,cnn
Amanda Sealy,cnn
Oren Cass,cnn
Rachel Metz Brian Fung,cnn
David Strom,cnn
Rosa Flores Ray Sanchez,cnn
Jordan Valinsky,cnn
Elizabeth Rawlins,cnn
Nadeen Abusada,cnn
Jeddy Johnson,cnn
Curt Devine,cnn
Scott Glover,cnn
Amir Vera Stella Chan,cnn
Ella Nilsen,cnn
Andrew Christiansen,cnn
Rob Frehse Christina Maxouris,cnn
Melanie DG Kaplan,cnn
Angus Watson,cnn
Ivan Watson,cnn
Olha Konovalova,cnn
Dan Hodge,cnn
Eric Cheung,cnn
Benjamin Brown,cnn
Luis Cienfuegos,cnn
Larry Madowo,cnn
Lavandera Ashley Killough,cnn
Ashley Killough,cnn
Natasha Chen,cnn
